,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
2063,3051119,Aethionema capitatum Boiss. & Balansa,Aethionema capitatum,Aethionemeae,accepted,W,N,72,11,0,0,0,0,61,>=10,>=10,0,0,0,0
2043,3051061,Aethionema carlsbergii Strid & Papan.,Aethionema carlsbergii,Aethionemeae,accepted,H,N,5,2,0,0,0,0,3,<10,<10,0,0,0,0
2070,3051132,Aethionema carneum (Banks & Sol.) B. Fedtsch.,Aethionema carneum,Aethionemeae,accepted,H,Y,456,67,15,8,4,2,389,>=100,>=10,>=10,<10,<10,<10
2052,3051075,Aethionema cephalanthum (Bornm.) Bornm.,Aethionema cephalanthum,Aethionemeae,accepted,H,N,4,0,0,0,0,0,4,<10,0,0,0,0,0
2491,3693708,Aethionema clandestinum Delile,Aethionema clandestinum,unknown,unresolved,H,N,5,0,0,0,0,0,5,<10,0,0,0,0,0
2033,3051035,Aethionema cordatum (Desf.) Boiss.,Aethionema cordatum,Aethionemeae,accepted,W,Y,175,29,4,1,0,0,146,>=100,>=10,<10,<10,0,0
2058,3051089,Aethionema coridifolium DC.,Aethionema coridifolium,Aethionemeae,accepted,W,Y,118,12,2,1,1,1,106,>=100,>=10,<10,<10,<10,<10
2074,3051146,Aethionema demirizii P.H. Davis & Hedge,Aethionema demirizii,Aethionemeae,accepted,W,Y,5,0,0,0,0,0,5,<10,0,0,0,0,0
2038,3051052,Aethionema diastrophis Bunge,Aethionema diastrophis,Aethionemeae,accepted,W,Y,126,16,2,2,1,0,110,>=100,>=10,<10,<10,<10,0
2490,3693666,Aethionema dumanii Vural & Adigüzel,Aethionema dumanii,Aethionemeae,accepted,W,Y,3,0,0,0,0,0,0,<10,0,0,0,0,0
2065,3051122,Aethionema edentulum N. Busch,Aethionema edentulum,Aethionemeae,accepted,H,Y,72,23,4,3,0,0,49,>=10,>=10,<10,<10,0,0
2489,3693658,Aethionema erinaceum (Boiss.) Khosravi & Mumm.,Aethionema erinaceum,Aethionemeae,accepted,W,Y,19,5,2,0,0,0,14,>=10,<10,<10,0,0,0
3901,10799041,Aethionema erzincanum Kandemir & Aytaç,Aethionema erzincanum,Aethionemeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,3051140,Aethionema eunomioides (Boiss.) Bornm.,Aethionema eunomioides,Aethionemeae,accepted,H,Y,84,7,0,0,0,0,77,>=10,<10,0,0,0,0
2053,3051080,Aethionema fimbriatum Boiss.,Aethionema fimbriatum,Aethionemeae,accepted,W,Y,88,14,2,1,1,1,74,>=10,>=10,<10,<10,<10,<10
2487,3693645,Aethionema fischeri Tausch,Aethionema fischeri,unknown,unresolved,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,3051158,Aethionema froedinii Rech.f.,Aethionema froedinii,Aethionemeae,accepted,H,Y,15,0,0,0,0,0,15,>=10,0,0,0,0,0
2060,3051092,Aethionema fruticulosum Bordz.,Aethionema fruticulosum,Aethionemeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,3051057,Aethionema gileadense Post,Aethionema gileadense,Aethionemeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,3051071,Aethionema glaucinum Greuter & al.,Aethionema glaucinum,Aethionemeae,accepted,H,N,4,0,0,0,0,0,4,<10,0,0,0,0,0
2075,3051147,Aethionema grandiflorum Boiss. & Hohen.,Aethionema grandiflorum,Aethionemeae,accepted,W,Y,743,75,11,10,6,3,668,>=500,>=10,>=10,>=10,<10,<10
2047,3051067,Aethionema heterocarpum J. Gay ex Trevir.,Aethionema heterocarpum,Aethionemeae,accepted,H,Y,80,51,11,11,5,4,29,>=10,>=10,>=10,>=10,<10,<10
2078,3051159,Aethionema heterophyllum (Boiss. & Buhse) Boiss.,Aethionema heterophyllum,Aethionemeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,3051093,Aethionema huber-morathii P.H. Davis & Hedge,Aethionema huber-morathii,Aethionemeae,accepted,W,Y,2,0,0,0,0,0,2,<10,0,0,0,0,0
2485,3693589,Aethionema karamanicum K. Ertuğrul & Beyazoğlu,Aethionema karamanicum,Aethionemeae,accepted,H,N,1,0,0,0,0,0,0,<10,0,0,0,0,0
2068,3051129,Aethionema kopetdaghi Lipsky,Aethionema kopetdaghi,Aethionemeae,accepted,W,Y,1,0,0,0,0,0,1,<10,0,0,0,0,0
2050,3051072,Aethionema lepidioides Hub.-Mor.,Aethionema lepidioides,Aethionemeae,accepted,W,Y,24,4,1,1,1,1,20,>=10,<10,<10,<10,<10,<10
2483,3693559,Aethionema leptocarpium Delile,Aethionema leptocarpium,unknown,unresolved,H,N,6,1,0,0,0,0,5,<10,<10,0,0,0,0
