,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
3574,7486189,Crambe tatarica Willd.,Crambe tatarica,Brassiceae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2604,5373541,Crambe wildpretii A. Prina & Bramwell,Crambe wildpretii,Brassiceae,accepted,W,N,15,6,5,0,0,0,9,>=10,<10,<10,0,0,0
85,3041199,Crambella teretifolia (Batt. & Trab.) Maire,Crambella teretifolia,Brassiceae,accepted,H,Y,49,6,1,1,0,0,43,>=10,<10,<10,<10,0,0
114,3041485,Cremolobus bolivianus Britton,Cremolobus bolivianus,Cremolobeae,accepted,H,N,12,4,0,0,0,0,8,>=10,<10,0,0,0,0
111,3041468,Cremolobus chilensis (Lag. ex DC.) DC.,Cremolobus chilensis,Cremolobeae,accepted,H,Y,169,47,0,0,0,0,122,>=100,>=10,0,0,0,0
110,3041467,Cremolobus linearifolius Hook. & Arn.,Cremolobus linearifolius,Cremolobeae,accepted,H,N,1,0,0,0,0,0,0,<10,0,0,0,0,0
113,3041482,Cremolobus peruvianus (Lam.) DC.,Cremolobus peruvianus,Cremolobeae,accepted,W,Y,155,46,4,2,0,0,109,>=100,>=10,<10,<10,0,0
116,3041488,Cremolobus rhomboideus Hook.,Cremolobus rhomboideus,Cremolobeae,accepted,H,Y,20,7,0,0,0,0,13,>=10,<10,0,0,0,0
112,3041480,Cremolobus stenophyllus Muschl.,Cremolobus stenophyllus,Cremolobeae,not accepted,H,N,7,1,0,0,0,0,6,<10,<10,0,0,0,0
117,3041490,Cremolobus subscandens Kuntze,Cremolobus subscandens,Cremolobeae,accepted,H,N,24,11,0,0,0,0,13,>=10,>=10,0,0,0,0
115,3041486,Cremolobus suffruticosus (DC.) DC.,Cremolobus suffruticosus,Cremolobeae,accepted,W,Y,21,5,0,0,0,0,16,>=10,<10,0,0,0,0
158,3041667,"Crucihimalaya axillaris (Hook.f. & Thomson) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya axillaris,Crucihimalayeae,accepted,H,N,28,1,0,0,0,0,27,>=10,<10,0,0,0,0
2388,3688803,Crucihimalaya bursifolia (DC.) D.A. German & A.L. Ebel,Crucihimalaya bursifolia,Crucihimalayeae,accepted,H,N,433,251,103,21,16,14,182,>=100,>=100,>=100,>=10,>=10,>=10
163,3041702,"Crucihimalaya himalaica (Edgew.) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya himalaica,Crucihimalayeae,accepted,H,Y,480,212,122,0,0,0,268,>=100,>=100,>=100,0,0,0
161,3041686,"Crucihimalaya kneuckeri (Bornm.) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya kneuckeri,Crucihimalayeae,accepted,H,N,6,1,0,0,0,0,5,<10,<10,0,0,0,0
157,3041658,"Crucihimalaya lasiocarpa (Hook.f. & Thomson) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya lasiocarpa,Crucihimalayeae,accepted,H,N,85,26,8,0,0,0,59,>=10,>=10,<10,0,0,0
160,3041677,"Crucihimalaya mollissima (C.A. Mey.) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya mollissima,Crucihimalayeae,accepted,H,N,431,329,292,19,19,0,102,>=100,>=100,>=100,>=10,>=10,0
159,3041676,"Crucihimalaya ovczinnikovii (Botsch.) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya ovczinnikovii,Crucihimalayeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2387,3688765,Crucihimalaya rupicola (Krylov) A.L. Ebel & D.A. German,Crucihimalaya rupicola,Crucihimalayeae,accepted,H,N,20,11,9,9,8,1,9,>=10,>=10,<10,<10,<10,<10
156,3041651,"Crucihimalaya stricta (Cambess.) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya stricta,Crucihimalayeae,accepted,H,N,95,56,50,2,0,0,39,>=10,>=10,>=10,<10,0,0
3738,8419015,"Crucihimalaya tenuisiliqua (Rech.f. & Köie) Al-Shehbaz, D.A. German & M.A. Koch",Crucihimalaya tenuisiliqua,Crucihimalayeae,accepted,H,N,24,6,0,0,0,0,18,>=10,<10,0,0,0,0
3698,8212057,"Crucihimalaya tibetica (Hook.f. & Thomson) Al-Shehbaz, D.A. German & M.A. Koch",Crucihimalaya tibetica,Crucihimalayeae,accepted,H,N,444,350,326,0,0,0,94,>=100,>=100,>=100,0,0,0
2386,3688757,Crucihimalaya virgata (Nutt.) D.A. German & A.L. Ebel,Crucihimalaya virgata,Crucihimalayeae,accepted,H,N,230,49,23,14,10,6,181,>=100,>=10,>=10,>=10,>=10,<10
162,3041689,"Crucihimalaya wallichii (Hook.f. & Thomson) Al-Shehbaz, O'Kane & R.A. Price",Crucihimalaya wallichii,Crucihimalayeae,accepted,H,N,337,182,162,23,13,4,155,>=100,>=100,>=100,>=10,>=10,<10
2624,5373592,Cryptospora falcata Kar. & Kir.,Cryptospora falcata,Euclidieae,accepted,H,Y,131,23,2,2,2,2,108,>=100,>=10,<10,<10,<10,<10
2623,5373591,Cryptospora inconspicua (Kom.) O.E. Schulz,Cryptospora inconspicua,Euclidieae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2625,5373594,Cryptospora trichocarpa Botsch.,Cryptospora trichocarpa,Euclidieae,accepted,H,N,1,0,0,0,0,0,0,<10,0,0,0,0,0
229,3041988,Cuphonotus andraeanus (F. Muell.) E.A. Shaw,Cuphonotus andraeanus,Microlepidieae,accepted,H,N,202,191,175,99,52,48,11,>=100,>=100,>=100,>=10,>=10,>=10
230,3041991,Cuphonotus humistratus (F. Muell.) O.E. Schulz,Cuphonotus humistratus,Microlepidieae,accepted,H,Y,378,355,320,229,131,130,23,>=100,>=100,>=100,>=100,>=100,>=100
4051,10993456,"Cuprella antiatlantica (Emb. & Maire) Salmerón-Sánchez, Mota & Fuertes",Cuprella antiatlantica,Alysseae,accepted,H,N,21,3,0,0,0,0,18,>=10,<10,0,0,0,0
4017,10953266,"Cuprella homalocarpa (Fisch. & C.A. Mey.) Salmerón-Sánchez, Mota & Fuertes",Cuprella homalocarpa,Alysseae,accepted,H,Y,50,11,2,0,0,0,39,>=10,>=10,<10,0,0,0
251,3042109,Cusickiella douglasii (A. Gray) Rollins,Cusickiella douglasii,Boechereae,accepted,H,Y,412,202,65,48,36,27,210,>=100,>=100,>=10,>=10,>=10,>=10
250,3042107,Cusickiella quadricostata (Rollins) Rollins,Cusickiella quadricostata,Boechereae,accepted,H,N,148,56,46,10,1,1,92,>=100,>=10,>=10,>=10,<10,<10
2631,5373629,Cymatocarpus grossheimii N. Busch,Cymatocarpus grossheimii,Euclidieae,accepted,H,N,7,1,1,0,0,0,6,<10,<10,<10,0,0,0
2632,5373630,Cymatocarpus heterophyllus N. Busch,Cymatocarpus heterophyllus,Euclidieae,accepted,H,N,12,0,0,0,0,0,12,>=10,0,0,0,0,0
2633,5373632,Cymatocarpus pilosissimus (Trautv.) O.E. Schulz,Cymatocarpus pilosissimus,Euclidieae,accepted,H,Y,48,14,0,0,0,0,34,>=10,>=10,0,0,0,0
326,3042380,Cyphocardamum aretioides Hedge,Cyphocardamum aretioides,Lepidieae,accepted,W,N,4,0,0,0,0,0,4,<10,0,0,0,0,0
391,3042986,Dactylocardamum imbricatifolium Al-Shehbaz,Dactylocardamum imbricatifolium,Eudemeae,accepted,W,Y,3,0,0,0,0,0,3,<10,0,0,0,0,0
3802,10672133,"Dactylocardamum polyspermum Al-Shehbaz, A. Cano & Trinidad",Dactylocardamum polyspermum,Eudemeae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
407,3043200,Degenia velebitica (Degen) Hayek,Degenia velebitica,Alysseae,accepted,H,Y,56,8,2,1,1,0,48,>=10,<10,<10,<10,<10,0
404,3043050,Delpinophytum patagonicum (Speg.) Speg.,Delpinophytum patagonicum,Eudemeae,accepted,W,Y,30,17,1,0,0,0,13,>=10,>=10,<10,0,0,0
2379,3688387,Dendroarabis fruticulosa (C.A. Mey.) D.A. German & Al-Shehbaz,Dendroarabis fruticulosa,Arabideae,accepted,W,Y,134,72,40,32,30,1,62,>=100,>=10,>=10,>=10,>=10,<10
536,3044299,Descurainia adenophora (Wooton & Standl.) O.E. Schulz,Descurainia adenophora,Descurainieae,accepted,H,N,135,38,20,13,13,13,97,>=100,>=10,>=10,>=10,>=10,>=10
543,3044331,Descurainia antarctica (E. Fourn.) O.E. Schulz,Descurainia antarctica,Descurainieae,accepted,H,N,123,63,1,0,0,0,60,>=100,>=10,<10,0,0,0
526,3044253,Descurainia artemisioides Svent.,Descurainia artemisioides,Descurainieae,accepted,W,Y,57,31,25,0,0,0,26,>=10,>=10,>=10,0,0,0
520,3044221,Descurainia athrocarpa (A. Gray) O.E. Schulz,Descurainia athrocarpa,Descurainieae,accepted,H,N,92,32,5,4,3,1,60,>=10,>=10,<10,<10,<10,<10
530,3044270,Descurainia bourgaeana (E. Fourn.) Webb,Descurainia bourgaeana,Descurainieae,accepted,W,Y,464,267,246,65,59,45,197,>=100,>=100,>=100,>=10,>=10,>=10
535,3044291,Descurainia brevisiliqua (Detling) Al-Shehbaz & Goodson,Descurainia brevisiliqua,Descurainieae,accepted,H,N,56,31,21,5,3,0,25,>=10,>=10,>=10,<10,<10,0
521,3044229,Descurainia californica (A. Gray) O.E. Schulz,Descurainia californica,Descurainieae,accepted,H,N,692,222,95,67,42,19,470,>=500,>=100,>=10,>=10,>=10,>=10
3965,10890866,Descurainia canoensis Al-Shehbaz,Descurainia canoensis,Descurainieae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
3786,9164271,Descurainia cleefii Al-Shehbaz,Descurainia cleefii,Descurainieae,accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
518,3044196,Descurainia depressa (Phil.) Prantl ex Reiche,Descurainia depressa,Descurainieae,accepted,H,Y,255,121,6,4,0,0,134,>=100,>=100,<10,<10,0,0
509,3044105,Descurainia erodiifolia (Phil.) Prantl ex Reiche,Descurainia erodiifolia,Descurainieae,accepted,H,Y,523,270,52,31,10,5,253,>=500,>=100,>=10,>=10,>=10,<10
541,3044317,Descurainia gilva Svent.,Descurainia gilva,Descurainieae,accepted,W,Y,126,83,78,30,29,12,43,>=100,>=10,>=10,>=10,>=10,>=10
531,3044272,Descurainia gonzalezii Svent.,Descurainia gonzalezii,Descurainieae,accepted,W,Y,78,35,32,1,1,1,43,>=10,>=10,>=10,<10,<10,<10
514,3044129,Descurainia hartwegiana (E. Fourn.) Britton,Descurainia hartwegiana,Descurainieae,accepted,H,N,31,8,3,1,0,0,23,>=10,<10,<10,<10,0,0
512,3044113,Descurainia impatiens (Cham. & Schltdl.) O.E. Schulz,Descurainia impatiens,Descurainieae,accepted,H,N,377,194,144,122,122,117,183,>=100,>=100,>=100,>=100,>=100,>=100
534,3044285,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn,Descurainia incana,Descurainieae,accepted,H,N,1047,448,140,77,42,17,599,>=1000,>=100,>=100,>=10,>=10,>=10
519,3044201,Descurainia incisa (Engelm. ex A. Gray) Britton,Descurainia incisa,Descurainieae,accepted,H,Y,1875,668,291,143,72,31,1207,>=1000,>=500,>=100,>=100,>=10,>=10
517,3044195,Descurainia kenheilii Al-Shehbaz,Descurainia kenheilii,Descurainieae,accepted,H,N,4,3,1,0,0,0,1,<10,<10,<10,0,0,0
539,3044314,Descurainia kochii (Petri) O.E. Schulz,Descurainia kochii,Descurainieae,accepted,H,N,17,0,0,0,0,0,17,>=10,0,0,0,0,0
527,3044254,Descurainia lemsii Bramwell,Descurainia lemsii,Descurainieae,accepted,W,Y,97,59,52,3,2,2,38,>=10,>=10,>=10,<10,<10,<10
528,3044255,Descurainia longipedicellata (E. Fourn.) O.E. Schulz,Descurainia longipedicellata,Descurainieae,accepted,H,N,790,316,122,73,43,1,474,>=500,>=100,>=100,>=10,>=10,<10
3549,6393217,Descurainia magna (Rydb.) F.C. Gates,Descurainia magna,Descurainieae,not accepted,H,N,66,33,8,4,3,1,33,>=10,>=10,<10,<10,<10,<10
510,3044107,Descurainia millefolia (Jacq.) Webb & Berthel.,Descurainia millefolia,Descurainieae,accepted,W,Y,543,245,220,94,60,42,298,>=500,>=100,>=100,>=10,>=10,>=10
532,3044273,Descurainia myriophylla (Willd. ex DC.) R.E. Fr.,Descurainia myriophylla,Descurainieae,accepted,H,Y,452,179,11,5,4,3,273,>=100,>=100,>=10,<10,<10,<10
524,3044247,Descurainia nelsonii (Rydb) Goodson & Al-Shehbaz,Descurainia nelsonii,Descurainieae,accepted,H,N,358,129,28,14,6,0,229,>=100,>=100,>=10,>=10,<10,0
516,3044192,Descurainia nuttallii (Colla) O.E. Schulz,Descurainia nuttallii,Descurainieae,accepted,H,N,227,57,3,1,1,1,170,>=100,>=10,<10,<10,<10,<10
513,3044118,Descurainia obtusa (Greene) O.E. Schulz,Descurainia obtusa,Descurainieae,accepted,H,Y,269,131,63,26,19,15,138,>=100,>=100,>=10,>=10,>=10,>=10
544,3044342,Descurainia paradisa (A. Nelson & P.B. Kenn.) O.E. Schulz,Descurainia paradisa,Descurainieae,accepted,H,N,277,128,31,11,5,1,149,>=100,>=100,>=10,>=10,<10,<10
537,3044310,Descurainia pimpinellifolia (Barnéoud) O.E. Schulz,Descurainia pimpinellifolia,Descurainieae,accepted,H,N,313,132,7,6,2,2,181,>=100,>=100,<10,<10,<10,<10
515,3044133,Descurainia pinnata (Walter) Britton,Descurainia pinnata,Descurainieae,accepted,H,Y,10803,4348,2023,1291,1111,855,6455,>=1000,>=1000,>=1000,>=1000,>=1000,>=500
529,3044265,Descurainia preauxiana (Webb) Webb ex O.E. Schulz,Descurainia preauxiana,Descurainieae,accepted,W,Y,196,105,90,13,6,4,91,>=100,>=100,>=10,>=10,<10,<10
511,3044109,Descurainia richardsonii O.E. Schulz,Descurainia richardsonii,Descurainieae,not accepted,H,N,402,118,47,17,12,7,284,>=100,>=100,>=10,>=10,>=10,<10
542,3044318,Descurainia sophia (L.) Webb ex Prantl,Descurainia sophia,Descurainieae,accepted,H,Y,48573,41824,33182,16555,11764,9789,6749,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
540,3044316,Descurainia sophia subsp. bartschii (O.E. Schulz) Vural,Descurainia sophia,Descurainieae,accepted,H,Y,1,0,0,0,0,0,1,<10,0,0,0,0,0
3748,8600837,Descurainia sophioides (Fisch. ex Hook.) O.E. Schulz,Descurainia sophioides,Descurainieae,accepted,H,N,1170,811,445,62,48,37,359,>=1000,>=500,>=100,>=10,>=10,>=10
533,3044281,Descurainia streptocarpa (E. Fourn.) O.E. Schulz,Descurainia streptocarpa,Descurainieae,accepted,H,N,196,38,24,15,14,13,158,>=100,>=10,>=10,>=10,>=10,>=10
523,3044240,Descurainia stricta (Phil.) Prantl ex Reiche,Descurainia stricta,Descurainieae,accepted,H,N,174,76,0,0,0,0,98,>=100,>=10,0,0,0,0
522,3044233,Descurainia tanacetifolia (L.) Prantl,Descurainia tanacetifolia,Descurainieae,accepted,H,N,3615,2816,2383,83,34,32,799,>=1000,>=1000,>=1000,>=10,>=10,>=10
538,3044312,Descurainia torulosa Rollins,Descurainia torulosa,Descurainieae,accepted,H,N,15,1,1,0,0,0,14,>=10,<10,<10,0,0,0
525,3044250,Descurainia virletii (E. Fourn.) O.E. Schulz,Descurainia virletii,Descurainieae,accepted,H,N,136,52,43,36,36,36,84,>=100,>=10,>=10,>=10,>=10,>=10
2847,5374681,Diceratella alata Jonsell & Moggi,Diceratella alata,Anastaticeae,accepted,W,Y,2,0,0,0,0,0,0,<10,0,0,0,0,0
2854,5374692,Diceratella canescens (Boiss.) Boiss.,Diceratella canescens,Anastaticeae,accepted,W,Y,29,2,0,0,0,0,27,>=10,<10,0,0,0,0
2849,5374684,Diceratella elliptica (R. Br. ex DC.) Jonsell,Diceratella elliptica,Anastaticeae,accepted,W,Y,99,13,0,0,0,0,86,>=10,>=10,0,0,0,0
2857,5374697,Diceratella floccosa (Boiss.) Boiss.,Diceratella floccosa,Anastaticeae,accepted,W,Y,6,0,0,0,0,0,6,<10,0,0,0,0,0
2853,5374688,Diceratella incana Balf.f.,Diceratella incana,Anastaticeae,accepted,W,Y,30,6,1,1,1,1,24,>=10,<10,<10,<10,<10,<10
2856,5374696,Diceratella inermis Jonsell,Diceratella inermis,Anastaticeae,accepted,W,Y,14,7,0,0,0,0,7,>=10,<10,0,0,0,0
2852,5374687,Diceratella psilotrichoides Chiov.,Diceratella psilotrichoides,Anastaticeae,accepted,W,Y,3,1,0,0,0,0,2,<10,<10,0,0,0,0
2855,5374695,Diceratella revoilii (Franch.) Jonsell,Diceratella revoilii,Anastaticeae,accepted,W,Y,14,0,0,0,0,0,14,>=10,0,0,0,0,0
2851,5374686,Diceratella ruspoliana Engl.,Diceratella ruspoliana,Anastaticeae,not accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
2850,5374685,Diceratella sahariana R. Corti,Diceratella sahariana,Anastaticeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2848,5374682,Diceratella smithii (Baker f.) Jonsell,Diceratella smithii,Anastaticeae,accepted,W,Y,18,10,3,3,3,3,8,>=10,>=10,<10,<10,<10,<10
2465,3692957,Dichasianthus aculeolatus (Boiss.) Soják,Dichasianthus aculeolatus,Sisymbrieae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
594,3044542,Dichasianthus subtilissimus (Popov) Ovcz. & Junussov,Dichasianthus subtilissimus,Euclidieae,accepted,H,Y,8,0,0,0,0,0,8,<10,0,0,0,0,0
811,3045611,Dictyophragmus englerianus (Muschl.) O.E. Schulz,Dictyophragmus englerianus,Thelypodieae,accepted,H,Y,17,5,0,0,0,0,12,>=10,<10,0,0,0,0
810,3045609,Dictyophragmus lactucoides (Förther & Weigend) Al-Shehbaz,Dictyophragmus lactucoides,Thelypodieae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
809,3045607,Dictyophragmus punensis (Romanczuk) Al-Shehbaz,Dictyophragmus punensis,Thelypodieae,accepted,H,N,27,18,0,0,0,0,9,>=10,>=10,0,0,0,0
2956,5375148,Didesmus aegyptius (L.) Desv.,Didesmus aegyptius,Brassiceae,accepted,H,Y,209,99,33,32,31,30,110,>=100,>=10,>=10,>=10,>=10,>=10
2955,5375144,Didesmus bipinnatus (Desf.) DC.,Didesmus bipinnatus,Brassiceae,accepted,H,N,202,15,2,0,0,0,187,>=100,>=10,<10,0,0,0
3003,5375291,Didymophysa aucheri Boiss.,Didymophysa aucheri,Thlaspideae,accepted,H,Y,92,17,4,4,4,4,75,>=10,>=10,<10,<10,<10,<10
3002,5375288,Didymophysa fedtschenkoana Regel,Didymophysa fedtschenkoana,Thlaspideae,accepted,H,N,69,34,23,2,2,1,35,>=10,>=10,>=10,<10,<10,<10
1123,3047273,Dielsiocharis bactriana (Ovcz. & Yunussov) Al-Shehbaz & Junussov,Dielsiocharis bactriana,Alyssopsideae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,3047275,Dielsiocharis kotschyi (Boiss.) O.E. Schulz,Dielsiocharis kotschyi,Alyssopsideae,accepted,H,Y,75,9,3,3,3,3,66,>=10,<10,<10,<10,<10,<10
3019,5375430,Dilophia ebracteata Maxim.,Dilophia ebracteata,Euclidieae,accepted,H,N,44,39,1,0,0,0,5,>=10,>=10,<10,0,0,0
3020,5375432,Dilophia salsa Thomson,Dilophia salsa,Euclidieae,accepted,H,Y,297,178,124,3,3,1,119,>=100,>=100,>=100,<10,<10,<10
1144,3047649,Dimorphocarpa candicans (Raf.) Rollins,Dimorphocarpa candicans,Physarieae,accepted,H,N,588,277,223,124,109,88,311,>=500,>=100,>=100,>=100,>=100,>=10
1147,3047657,Dimorphocarpa membranacea (Payson) Rollins,Dimorphocarpa membranacea,Physarieae,accepted,H,N,8,1,0,0,0,0,7,<10,<10,0,0,0,0
1146,3047656,Dimorphocarpa pinnatifida Rollins,Dimorphocarpa pinnatifida,Physarieae,accepted,H,N,40,26,10,10,8,5,14,>=10,>=10,>=10,>=10,<10,<10
1145,3047653,Dimorphocarpa wislizenii (Engelm.) Rollins,Dimorphocarpa wislizenii,Physarieae,accepted,H,Y,2084,1317,763,551,503,396,767,>=1000,>=1000,>=500,>=500,>=500,>=100
3535,5552260,Diplotaxis × schweinfurthii O.E. Schulz,Diplotaxis ×,#N/A,#N/A,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
3151,5376378,Diplotaxis acris (Forssk.) Boiss.,Diplotaxis acris,Brassiceae,accepted,H,N,646,397,119,116,28,13,249,>=500,>=100,>=100,>=100,>=10,>=10
3143,5376335,Diplotaxis antoniensis Rustan,Diplotaxis antoniensis,Brassiceae,accepted,W,Y,15,1,0,0,0,0,14,>=10,<10,0,0,0,0
3153,5376384,Diplotaxis assurgens (Delile) Gren.,Diplotaxis assurgens,Brassiceae,accepted,H,N,184,22,6,1,1,0,162,>=100,>=10,<10,<10,<10,0
3144,5376336,Diplotaxis berthautii Braun-Blanq. & Maire,Diplotaxis berthautii,Brassiceae,accepted,H,N,26,2,0,0,0,0,24,>=10,<10,0,0,0,0
3133,5376304,Diplotaxis brachycarpa Godr.,Diplotaxis brachycarpa,Brassiceae,accepted,H,N,39,3,0,0,0,0,36,>=10,<10,0,0,0,0
3155,5376390,Diplotaxis brevisiliqua (Coss.) Mart.-Laborde,Diplotaxis brevisiliqua,Brassiceae,accepted,H,N,46,17,11,3,3,0,29,>=10,>=10,>=10,<10,<10,0
3146,5376351,Diplotaxis catholica (L.) DC.,Diplotaxis catholica,Brassiceae,accepted,H,N,3962,2745,2362,1914,1669,1590,1217,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
3156,5376392,Diplotaxis cossoniana (Reut. ex Boiss.) O.E. Schulz,Diplotaxis cossoniana,Brassiceae,accepted,H,N,167,3,0,0,0,0,164,>=100,<10,0,0,0,0
3148,5376366,Diplotaxis decumbens (A. Chev.) Rustan & L. Borgen,Diplotaxis decumbens,Brassiceae,not accepted,H,N,10,2,2,2,2,0,8,>=10,<10,<10,<10,<10,0
3136,5376309,Diplotaxis erucoides (L.) DC.,Diplotaxis erucoides,Brassiceae,accepted,H,N,25659,23197,20350,9254,3400,3196,2462,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
3163,5376425,Diplotaxis glauca (J.A. Schmidt) O.E. Schulz,Diplotaxis glauca,Brassiceae,accepted,H,N,25,1,0,0,0,0,24,>=10,<10,0,0,0,0
3158,5376400,Diplotaxis gorgadensis Rustan,Diplotaxis gorgadensis,Brassiceae,accepted,W,Y,34,4,1,0,0,0,30,>=10,<10,<10,0,0,0
3150,5376375,Diplotaxis gracilis (Webb) O.E. Schulz,Diplotaxis gracilis,Brassiceae,accepted,W,Y,30,1,1,1,1,0,29,>=10,<10,<10,<10,<10,0
3141,5376333,Diplotaxis griffithii (Hook.f. & Thomson) Boiss.,Diplotaxis griffithii,Brassiceae,accepted,H,N,100,63,58,14,12,2,37,>=100,>=10,>=10,>=10,>=10,<10
3160,5376405,Diplotaxis harra (Forssk.) Boiss.,Diplotaxis harra,Brassiceae,accepted,W,Y,3875,1997,1352,895,257,234,1878,>=1000,>=1000,>=1000,>=500,>=100,>=100
3161,5376408,Diplotaxis hirta (A. Chev.) Rustan & L. Borgen,Diplotaxis hirta,Brassiceae,accepted,H,N,45,11,7,1,1,0,34,>=10,>=10,<10,<10,<10,0
3152,5376382,Diplotaxis ibicensis (Pau) Gómez-Campo,Diplotaxis ibicensis,Brassiceae,accepted,H,N,443,347,325,194,11,10,96,>=100,>=100,>=100,>=100,>=10,>=10
3132,5376302,"Diplotaxis ilorcitana (Sennen) Aedo, Mart.-Laborde & Muñoz Garm.",Diplotaxis ilorcitana,Brassiceae,accepted,H,N,750,582,509,370,77,75,168,>=500,>=500,>=500,>=100,>=10,>=10
3154,5376389,Diplotaxis kohlaanensis A.G. Mill. & J. Nyberg,Diplotaxis kohlaanensis,Brassiceae,accepted,H,N,12,3,0,0,0,0,9,>=10,<10,0,0,0,0
3145,5376337,Diplotaxis muralis (L.) DC.,Diplotaxis muralis,Brassiceae,accepted,H,N,26069,21697,18222,5996,3502,2538,4372,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
3135,5376308,Diplotaxis nepalensis H. Hara,Diplotaxis nepalensis,Brassiceae,not accepted,H,N,9,1,1,1,0,0,8,<10,<10,<10,<10,0,0
3157,5376398,Diplotaxis ollivieri Maire,Diplotaxis ollivieri,Brassiceae,accepted,H,N,37,3,2,2,1,1,34,>=10,<10,<10,<10,<10,<10
3149,5376367,Diplotaxis pitardiana Maire,Diplotaxis pitardiana,Brassiceae,accepted,H,Y,43,14,2,0,0,0,29,>=10,>=10,<10,0,0,0
3137,5376323,Diplotaxis scaposa DC.,Diplotaxis scaposa,Brassiceae,not accepted,H,N,21,7,3,0,0,0,14,>=10,<10,<10,0,0,0
3159,5376403,Diplotaxis siettiana Maire,Diplotaxis siettiana,Brassiceae,accepted,H,N,42,25,22,14,2,0,17,>=10,>=10,>=10,>=10,<10,0
3138,5376324,Diplotaxis siifolia Kunze,Diplotaxis siifolia,Brassiceae,accepted,H,Y,799,286,211,73,15,12,513,>=500,>=100,>=100,>=10,>=10,>=10
2129,3051558,Diplotaxis simplex (Viv.) Spreng.,Diplotaxis simplex,Brassiceae,accepted,H,N,138,24,2,0,0,0,114,>=100,>=10,<10,0,0,0
3142,5376334,Diplotaxis sundingii Rustan,Diplotaxis sundingii,Brassiceae,accepted,W,Y,9,3,0,0,0,0,6,<10,<10,0,0,0,0
3164,5376426,Diplotaxis tenuifolia (L.) DC.,Diplotaxis tenuifolia,Brassiceae,accepted,H,N,57559,53972,45193,13582,8338,6349,3587,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
3166,5376435,Diplotaxis tenuisiliqua Delile,Diplotaxis tenuisiliqua,Brassiceae,accepted,H,N,547,65,29,9,4,2,482,>=500,>=10,>=10,<10,<10,<10
3134,5376307,Diplotaxis varia Rustan,Diplotaxis varia,Brassiceae,accepted,W,Y,28,2,0,0,0,0,26,>=10,<10,0,0,0,0
2130,3051579,Diplotaxis villosa Boulos & Jallad,Diplotaxis villosa,Brassiceae,accepted,H,N,13,3,0,0,0,0,10,>=10,<10,0,0,0,0
3147,5376357,Diplotaxis viminea (L.) DC.,Diplotaxis viminea,Brassiceae,accepted,H,N,3548,2385,1966,467,74,27,1163,>=1000,>=1000,>=1000,>=100,>=10,>=10
3165,5376430,Diplotaxis viminea subsp. cretacea (Kotov) Tzvelev,Diplotaxis viminea,Brassiceae,accepted,H,N,111,99,77,75,14,9,12,>=100,>=10,>=10,>=10,>=10,<10
3139,5376326,Diplotaxis virgata (Cav.) DC.,Diplotaxis virgata,Brassiceae,accepted,H,Y,3542,1774,1465,702,130,117,1768,>=1000,>=1000,>=1000,>=500,>=100,>=100
3140,5376327,Diplotaxis virgata subsp. vicentina (Welw. ex Samp.) Cout.,Diplotaxis virgata,Brassiceae,accepted,H,Y,17,9,3,1,0,0,8,>=10,<10,<10,<10,0,0
